Number,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,adr,total_of_special_requests
2219,0,217,3,7,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,62.48,0
2220,0,50,1,4,2,0,0,BB,TA/TO,0,0,0,D,1,No Deposit,Transient,70,1
2221,1,219,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,84.6,1
2222,1,85,1,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,75,0
2223,0,2,0,3,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,131,0
2224,0,1,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,35,1
2225,0,124,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,54.56,0
2226,0,36,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,39.51,1
2227,0,172,1,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,126,2
2228,0,173,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,46.98,2
2229,1,154,1,2,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,170,0
2230,0,281,2,1,2,2,0,BB,TA/TO,0,0,0,C,0,No Deposit,Transient,170.24,1
2231,0,9,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65,2
2232,0,67,3,7,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,135,0
2233,0,11,1,0,1,0,0,BB,Corporate,0,0,0,A,1,No Deposit,Transient-Party,50,0
2234,1,128,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,188.57,1
2235,0,45,0,5,2,0,0,HB,Direct,0,0,0,E,1,No Deposit,Transient,106,1
2236,1,106,1,3,2,0,0,FB,Direct,0,0,0,A,0,Non Refund,Transient,84,0
2237,0,107,0,4,1,1,0,BB,TA/TO,0,0,0,A,2,No Deposit,Transient,162,1
2238,1,10,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,140,2
2239,0,63,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,112,2
2240,1,81,2,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,40.5,2
2241,0,2,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,1
2242,0,78,2,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,79,1
2243,0,170,6,12,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Contract,72.25,0
2244,1,91,0,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,150,1
2245,0,197,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
2246,1,325,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,157.5,1
2247,0,177,3,6,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,96.8,0
2248,0,0,0,1,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,199,0
2249,1,103,1,1,2,0,0,BB,Corporate,0,0,0,E,0,Non Refund,Transient,73,0
2250,1,11,2,1,2,0,0,FB,TA/TO,0,1,0,A,0,No Deposit,Transient-Party,64,0
2251,1,260,2,5,2,0,0,BB,TA/TO,0,1,0,A,0,Non Refund,Transient,54.99,0
2252,0,57,2,6,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,135,1
2253,1,85,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,63,0
2254,0,129,1,2,2,0,0,FB,TA/TO,0,0,0,A,0,No Deposit,Transient,249,2
2255,0,3,2,0,2,0,0,HB,TA/TO,0,0,0,F,0,No Deposit,Transient,140.6,1
2256,0,61,2,5,1,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient,77.14,0
2257,0,53,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,141,0
2258,0,77,3,7,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Contract,72.1,0
2259,0,1,1,0,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,80,1
2260,1,113,0,1,2,0,0,HB,Direct,0,0,0,A,0,Non Refund,Transient,72,0
2261,1,64,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,2
2262,0,18,1,0,2,0,0,BB,Corporate,0,0,0,D,0,No Deposit,Transient-Party,48,0
2263,0,103,2,5,1,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,182,1
2264,0,53,2,5,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,125,2
2265,0,126,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,29,1
2266,0,0,0,2,3,0,0,BB,Direct,0,0,0,H,1,No Deposit,Transient,192,0
2267,0,388,0,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient-Party,72,0
2268,1,143,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,36.05,0
2269,0,255,2,5,2,0,0,HB,Direct,0,0,0,A,1,No Deposit,Transient,179.81,0
2270,0,136,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,54.77,0
2271,0,80,0,3,2,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,68,0
2272,0,80,0,3,2,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,68,0
2273,1,0,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,8,0
2274,0,5,2,0,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,192.5,1
2275,1,106,1,3,2,0,0,FB,Direct,0,0,0,A,0,Non Refund,Transient,84,0
2276,1,198,2,5,2,0,0,BB,TA/TO,0,0,0,D,2,No Deposit,Transient-Party,68,0
2277,0,40,1,2,1,0,0,Undefined,Direct,0,0,0,A,3,No Deposit,Transient-Party,27.5,0
2278,1,168,2,6,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,205,0
2279,0,1,1,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,0
2280,1,65,3,9,2,0,0,Undefined,Corporate,0,0,0,A,0,Non Refund,Transient,95,0
2281,1,3,2,2,3,1,0,BB,Direct,0,0,0,H,0,No Deposit,Transient,265,1
2282,1,340,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,30,0
2283,0,73,2,5,2,0,0,Undefined,Direct,0,0,0,F,1,No Deposit,Transient,153.61,1
2284,0,0,0,1,1,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,80,0
2285,0,54,2,6,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,215.25,0
2286,0,24,3,10,2,0,0,BB,Corporate,0,0,0,A,2,No Deposit,Transient-Party,48,0
2287,0,3,1,4,3,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,182.1,0
2288,0,17,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,85,2
2289,1,86,1,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,98,2
2290,0,397,0,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,70.5,1
2291,1,217,2,5,2,1,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient,52.5,0
2292,0,119,1,2,2,1,0,BB,Direct,0,0,0,E,0,No Deposit,Transient-Party,241,2
2293,0,0,2,1,3,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,205.33,0
2294,0,145,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,58.7,0
2295,1,222,2,7,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,133.1,1
2296,0,0,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,60,0
2297,1,252,2,3,2,0,0,BB,TA/TO,0,0,0,E,1,No Deposit,Transient,55.8,0
2298,0,192,0,2,2,1,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,244,3
2299,0,188,4,10,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Contract,116.1,0
2300,0,23,2,5,1,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient,47,0
2301,0,287,2,3,2,0,0,BB,Corporate,0,0,0,A,2,No Deposit,Transient-Party,56,0
2302,1,97,4,10,2,2,0,HB,TA/TO,0,0,0,G,0,No Deposit,Transient,187.64,0
2303,0,0,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,44,0
2304,0,1,0,1,2,0,0,BB,Direct,0,0,3,G,0,No Deposit,Transient,99,2
2305,0,237,2,7,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,141.67,2
2306,0,9,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,219,1
2307,0,4,2,2,2,0,0,HB,TA/TO,0,0,0,D,1,No Deposit,Transient,151.25,2
2308,0,8,1,3,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient-Party,210,2
2309,0,285,2,5,2,0,0,BB,TA/TO,0,0,0,A,2,No Deposit,Transient-Party,34,2
2310,0,73,0,1,2,0,0,BB,TA/TO,0,0,0,A,2,No Deposit,Transient,116,0
2311,0,177,2,5,3,0,0,BB,Direct,0,0,0,F,1,No Deposit,Transient-Party,175.57,1
2312,1,70,2,5,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42,0
2313,0,1,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,231,0
2314,0,4,1,1,2,1,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,102.5,3
2315,0,36,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,75,1
2316,0,3,0,1,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,68,2
2317,1,214,2,2,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,206,1
2318,0,219,2,2,2,0,0,HB,Corporate,0,0,0,E,0,No Deposit,Transient-Party,81,0
2319,1,92,1,2,2,0,0,Undefined,TA/TO,0,1,0,A,0,Non Refund,Transient,79,0
2320,0,4,1,1,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,59,0
2321,0,252,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Contract,98.4,0
2322,1,23,2,5,2,0,0,FB,Corporate,0,0,0,D,0,No Deposit,Transient-Party,116,0
2323,0,10,0,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,44.8,1
2324,1,238,0,3,1,0,0,BB,TA/TO,0,0,0,D,0,Non Refund,Transient,89,0
2325,1,203,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,46,0
2326,1,157,2,2,2,0,0,BB,TA/TO,0,0,0,D,0,Non Refund,Transient,52,0
2327,0,14,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,84,0
2328,0,261,0,2,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,87,0
2329,0,3,1,0,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,97,1
2330,0,0,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,38,0
2331,0,2,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,51.04,1
2332,0,4,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,138,0
2333,0,71,0,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,61.4,2
2334,1,23,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,70,0
2335,1,214,1,1,2,0,0,HB,TA/TO,0,1,0,A,0,No Deposit,Transient,34,0
2336,0,179,2,6,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,79.2,1
2337,0,379,4,10,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,72.2,1
2338,0,156,2,5,2,0,0,HB,TA/TO,0,0,0,D,1,No Deposit,Transient-Party,90,0
2339,0,0,0,1,1,0,0,BB,Direct,1,0,2,A,3,No Deposit,Transient,40,1
2340,0,283,2,5,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient-Party,77.57,0
2341,1,143,2,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,45.6,2
2342,1,134,0,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,56.7,0
2343,0,2,1,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,29,0
2344,0,338,2,5,2,2,0,BB,TA/TO,0,0,0,C,1,No Deposit,Transient,164,0
2345,0,73,3,10,1,0,0,BB,TA/TO,0,0,0,D,3,No Deposit,Transient,46.8,2
2346,0,1,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,48,1
2347,1,122,2,2,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,186,1
2348,1,44,1,5,3,1,0,HB,TA/TO,0,0,0,H,0,No Deposit,Transient,217,0
2349,0,36,2,6,1,0,0,BB,Corporate,0,0,0,A,2,No Deposit,Transient-Party,36,0
2350,0,341,2,5,2,0,0,HB,TA/TO,0,0,0,A,2,No Deposit,Contract,87.8,1
2351,0,128,2,4,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,71.1,2
2352,0,48,2,4,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,158.1,0
2353,1,194,2,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,87,1
2354,0,255,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Contract,130.05,0
2355,0,33,2,4,2,0,0,BB,Direct,0,0,0,C,0,No Deposit,Transient,220.33,0
2356,1,200,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,200,0
2357,0,25,2,6,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,154,2
2358,0,151,2,1,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,134.75,2
2359,1,47,3,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,195,0
2360,0,3,1,0,1,0,0,BB,Corporate,1,0,2,A,0,No Deposit,Group,75,0
2361,0,9,1,5,3,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,209,1
2362,0,16,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,48,0
2363,0,191,2,5,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,54.71,0
2364,1,77,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,85,0
2365,1,2,1,2,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,185.33,0
2366,0,241,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,39.6,0
2367,1,12,1,1,1,0,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,83.6,1
2368,1,120,0,4,2,0,0,HB,TA/TO,0,0,0,F,0,No Deposit,Transient,133.13,0
2369,0,261,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,68.4,0
2370,1,172,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42.69,0
2371,0,1,0,1,1,0,0,BB,TA/TO,1,0,1,A,0,No Deposit,Transient,25,0
2372,0,177,4,10,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Contract,42.23,0
2373,0,45,1,3,1,0,0,SC,TA/TO,0,0,0,A,2,No Deposit,Transient-Party,12.5,0
2374,1,166,0,2,2,0,0,FB,TA/TO,0,24,0,A,0,Non Refund,Transient,121.5,0
2375,0,2,2,0,1,0,0,BB,TA/TO,1,0,1,A,0,No Deposit,Transient,108,0
2376,0,6,0,0,2,0,0,BB,Corporate,0,0,0,D,0,No Deposit,Transient,0,2
2377,0,7,0,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,45,1
2378,1,12,1,0,2,0,0,BB,TA/TO,0,0,0,C,0,No Deposit,Transient,123,1
2379,0,31,3,10,1,0,0,BB,Corporate,0,0,0,A,2,No Deposit,Transient-Party,36,0
2380,1,68,1,4,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,49,0
2381,0,29,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,74.1,2
2382,0,0,0,1,2,0,0,BB,TA/TO,0,0,0,A,2,No Deposit,Transient,48,0
2383,0,330,2,4,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,95.16,2
2384,1,178,2,5,2,0,1,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,81,1
2385,0,61,0,2,2,2,0,BB,Direct,0,0,0,C,0,No Deposit,Transient,190,1
2386,1,3,0,4,3,1,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,110.75,0
2387,0,46,0,1,1,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,25,0
2388,1,164,1,3,2,0,0,BB,TA/TO,0,0,0,D,2,No Deposit,Transient-Party,65.7,0
2389,0,51,0,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,75.33,1
2390,1,43,0,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,46.8,2
2391,0,100,2,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,73,1
2392,1,21,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,47,1
2393,0,78,0,1,2,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,32,0
2394,1,92,1,2,2,0,0,Undefined,TA/TO,0,1,0,A,0,Non Refund,Transient,79,0
2395,0,50,0,1,2,0,0,BB,TA/TO,0,0,0,D,2,No Deposit,Transient,62,0
2396,1,244,0,3,2,0,0,BB,TA/TO,0,19,0,A,0,Non Refund,Transient,36,0
2397,0,101,3,7,2,0,0,BB,TA/TO,0,0,0,A,6,No Deposit,Transient-Party,47,0
2398,0,1,2,1,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,252,3
2399,1,209,1,4,2,0,0,BB,TA/TO,0,0,0,A,3,No Deposit,Transient,151.5,1
2400,0,151,2,3,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,159.27,2
2401,0,63,1,1,2,0,1,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,119,1
2402,0,2,4,10,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,37.7,0
2403,0,322,0,3,2,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient-Party,92,0
2404,0,11,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,66.3,1
2405,0,96,2,4,2,0,0,Undefined,Direct,0,0,0,E,2,No Deposit,Transient,193.9,0
2406,0,202,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,37.8,2
2407,0,29,1,1,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,88,2
2408,0,21,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,56,1
2409,1,17,0,1,1,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,124,0
2410,0,77,2,5,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,66.51,0
2411,0,0,1,0,2,0,0,BB,Direct,1,0,1,A,0,No Deposit,Transient-Party,56,0
2412,1,275,2,0,2,0,0,HB,TA/TO,0,26,0,A,0,Non Refund,Transient,50,0
2413,0,3,1,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,36,0
2414,0,31,0,1,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,98,0
2415,0,194,2,5,2,0,0,HB,TA/TO,0,0,0,D,3,No Deposit,Transient,158.66,2
2416,0,7,1,3,1,0,0,BB,Corporate,0,0,0,A,1,No Deposit,Transient-Party,29,0
2417,0,274,4,8,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,85.3,1
2418,0,0,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,130,1
2419,0,20,0,2,1,0,0,BB,Direct,0,0,0,F,1,No Deposit,Transient,134.1,1
2420,0,8,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,85,1
2421,0,220,0,5,2,2,0,BB,TA/TO,0,0,0,G,2,No Deposit,Transient,258,1
2422,1,0,1,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,43,0
2423,1,187,2,5,2,0,0,FB,Direct,0,0,0,A,0,No Deposit,Transient,173.79,0
2424,0,87,2,6,2,0,0,BB,TA/TO,0,0,0,D,2,No Deposit,Transient,154,2
2425,0,0,1,0,3,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,155.5,0
2426,0,154,0,3,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient-Party,88.2,0
2427,1,59,2,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,112.71,0
2428,0,55,2,4,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,179.38,0
2429,1,12,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,0
2430,0,342,2,5,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient-Party,80.81,0
2431,0,1,0,1,2,0,1,HB,Direct,0,0,0,A,0,No Deposit,Transient,79,1
2432,1,80,2,5,1,0,0,FB,TA/TO,0,0,0,A,0,No Deposit,Transient,54,1
2433,1,67,2,8,3,1,0,BB,TA/TO,0,0,0,H,2,No Deposit,Transient,175,1
2434,1,52,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,1
2435,0,59,2,5,2,0,0,BB,Direct,0,0,0,G,0,No Deposit,Transient-Party,120,0
2436,1,147,2,4,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,220,0
2437,0,7,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42,0
2438,0,3,1,0,1,0,0,BB,TA/TO,1,0,1,A,0,No Deposit,Transient,43,1
2439,0,39,1,0,2,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,47,0
2440,1,32,2,2,1,0,0,BB,TA/TO,0,1,0,A,1,No Deposit,Transient,35.1,1
2441,0,0,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,25,0
2442,1,5,2,3,1,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,65.2,0
2443,0,0,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,128,1
2444,0,37,1,0,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,172,0
2445,1,63,2,2,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,195.5,0
2446,0,0,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,121.5,3
2447,0,220,4,10,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Contract,72.75,2
2448,0,41,0,3,1,0,0,BB,Corporate,0,0,0,E,1,No Deposit,Transient-Party,52.2,0
2449,0,296,2,8,2,1,0,BB,TA/TO,0,0,0,A,1,No Deposit,Contract,51.18,2
2450,0,266,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65.66,0
2451,0,0,1,0,1,0,0,BB,TA/TO,1,0,1,A,0,No Deposit,Transient,70,0
2452,1,305,2,4,2,0,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,179,1
2453,1,113,0,1,2,0,0,HB,Direct,0,0,0,A,0,Non Refund,Transient,72,0
2454,0,29,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,29,1
2455,0,14,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,2,No Deposit,Transient-Party,84,0
2456,0,4,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,40.5,1
2457,0,7,1,3,2,0,0,BB,Corporate,0,0,0,D,0,No Deposit,Transient-Party,54,0
2458,0,204,4,10,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,90.1,1
2459,1,4,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,30,2
2460,0,143,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,90.95,1
2461,0,23,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,58,1
2462,0,187,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,95.4,1
2463,0,36,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,120,1
2464,0,16,1,2,2,0,0,BB,Corporate,0,0,0,A,1,No Deposit,Transient,40,0
2465,0,206,4,6,2,1,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,190.7,2
2466,0,27,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,105,1
2467,0,220,1,0,2,0,0,BB,TA/TO,0,0,0,D,1,No Deposit,Transient-Party,128.7,0
2468,0,28,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,68,0
2469,0,24,0,1,2,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,32,0
2470,1,99,2,10,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,41.4,0
2471,0,30,2,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,146.71,0
2472,0,159,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,77.6,2
2473,0,19,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,66,1
2474,1,19,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,29,0
2475,1,104,2,3,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,121.5,0
2476,0,169,0,3,2,0,0,BB,Direct,0,0,0,A,1,Refundable,Transient-Party,66,0
2477,0,57,0,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,164,0
2478,0,248,2,8,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,70,0
2479,1,160,1,3,2,0,0,BB,Direct,0,1,0,F,0,No Deposit,Transient,164.15,1
2480,0,33,1,4,3,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,210,2
2481,0,161,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,94.29,2
2482,0,1,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,1
2483,1,38,0,3,2,1,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,78,0
2484,1,39,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,60,1
2485,0,7,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,43,1
2486,0,252,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,62.48,1
2487,0,199,4,7,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Contract,87.75,1
2488,0,0,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,40,0
2489,0,261,0,2,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,87,0
