Number,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,adr,total_of_special_requests
4761,169,1,3,1,0,0,BB,Direct,0,0,0,A,1,Refundable,Transient-Party,60,0
4763,169,1,3,3,0,0,BB,Direct,0,0,0,A,1,Refundable,Transient-Party,101,0
4767,169,0,3,2,0,0,BB,Direct,0,0,0,A,1,Refundable,Transient-Party,66,0
4768,169,0,3,1,0,0,BB,Direct,0,0,0,A,2,Refundable,Transient-Party,60,0
4770,169,1,3,2,0,0,BB,Direct,0,0,0,A,0,Refundable,Transient-Party,46,0
4771,169,1,3,2,0,0,BB,Direct,0,0,0,A,0,Refundable,Transient-Party,66,0
4773,169,1,3,3,0,0,BB,Direct,0,0,0,A,1,Refundable,Transient-Party,101,0
4776,169,1,3,2,0,0,BB,Direct,0,0,0,A,0,Refundable,Transient-Party,46,0
4779,169,1,3,2,0,0,BB,Direct,0,0,0,A,0,Refundable,Transient-Party,66,0
4781,169,1,3,2,0,0,BB,Direct,0,0,0,A,0,Refundable,Transient-Party,66,0
4783,169,1,3,2,0,0,BB,Direct,0,0,0,A,0,Refundable,Transient-Party,66,0
4788,169,1,3,2,0,0,BB,Direct,0,0,0,A,1,Refundable,Transient-Party,66,0
4789,169,1,3,2,0,0,BB,Direct,0,0,0,A,3,Refundable,Transient-Party,66,0
4792,169,1,3,2,0,0,BB,Direct,0,0,0,A,0,Refundable,Transient-Party,66,0
4794,169,1,3,2,0,0,BB,Direct,0,0,0,A,0,Refundable,Transient-Party,46,0
4797,37,2,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,62,0
4807,144,2,2,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,41.4,0
4810,38,2,7,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,68.56,1
4812,39,2,1,3,1,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,113,0
4816,222,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42.19,2
4821,33,2,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,74.75,2
4826,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4831,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4835,171,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
4839,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4843,171,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
4845,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4848,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4849,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4853,171,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
4854,171,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
4856,171,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
4857,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4860,171,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
4862,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4864,171,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,Non Refund,Transient-Party,54.5,0
4865,171,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
4868,42,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,66.67,2
4874,116,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,72,0
4876,116,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,72,0
4877,116,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,72,0
4880,116,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,72,0
4882,116,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,72,0
4883,186,0,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,1
4885,40,0,5,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,58,1
4887,200,2,5,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient-Party,70.4,1
4888,200,2,5,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient-Party,71.83,1
4890,85,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
4891,85,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
4894,85,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
4899,85,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
4901,85,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
4902,85,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
4903,85,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
4904,23,0,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,85,0
4908,85,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
4916,26,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65,0
4919,46,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,58,1
4920,46,0,1,3,1,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,123,0
4922,22,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,35.1,0
4923,10,2,2,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,56,1
4925,84,2,4,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,63.5,0
4931,74,2,5,1,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,36,0
4940,121,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,72,0
4941,121,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,72,0
4944,27,2,2,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,72,0
4945,32,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65,0
4946,190,2,5,1,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient-Party,47.9,0
4951,275,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,74.45,0
4955,190,2,5,1,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient-Party,45.9,0
4958,275,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,68.66,0
4967,275,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,72.45,0
4969,0,1,2,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,42,0
4973,212,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,76.05,0
4975,212,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,76.05,0
4977,212,2,5,2,0,0,HB,Direct,0,0,0,A,0,Non Refund,Transient,67.05,0
4978,212,2,5,2,0,0,HB,Direct,0,0,0,A,0,Non Refund,Transient,67.05,0
4985,212,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,76.05,0
4988,52,1,3,2,0,1,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,120,0
4989,35,1,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,95,1
4990,28,1,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65,0
4994,214,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,2
4995,212,2,5,2,0,0,HB,Direct,0,0,0,A,0,Non Refund,Transient,67.05,0
4997,212,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,76.05,0
4998,212,2,5,2,0,0,HB,Direct,0,0,0,A,0,Non Refund,Transient,67.05,0
5000,212,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,76.05,0
5001,212,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,76.05,0
5004,212,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,76.05,0
5006,168,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,86,0
5007,168,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,86,0
5017,168,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,86,0
5019,168,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,86,0
5025,168,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,86,0
5028,168,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,86,0
5034,78,4,10,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,80,0
5041,10,0,2,2,0,0,BB,TA/TO,0,0,0,D,2,No Deposit,Transient,75,0
5043,15,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,65,0
5045,164,0,2,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,118,2
5046,164,0,2,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,118,2
5052,183,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5054,183,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
5055,183,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
5073,183,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
5078,183,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
5079,183,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient-Party,85,0
5088,183,2,2,2,0,0,SC,TA/TO,0,0,0,A,2,No Deposit,Transient-Party,0,0
5089,169,2,4,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,67.5,1
5090,169,2,4,3,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,80.1,1
5091,34,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,65.45,0
5092,232,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,1
5093,192,2,5,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,37.4,0
5102,53,1,0,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,118,0
5104,185,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
5106,185,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5108,185,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5115,185,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5120,185,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5122,185,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,87,0
5125,185,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
5130,185,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5131,185,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
5139,185,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
5141,185,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5142,185,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,86,0
5145,49,1,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,79,1
5147,128,1,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,0
5151,172,3,5,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,48.8,1
5156,172,3,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,68.42,1
5157,215,3,7,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient-Party,62.05,2
5161,32,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,50,0
5166,208,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,50.85,0
5168,32,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,69.36,0
5169,133,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,2
5171,91,0,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,53.1,0
5172,32,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,69.36,0
5173,32,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,69.36,0
5175,32,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,69.36,0
5176,208,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,50.85,0
5184,32,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,69.36,0
5193,50,2,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,121,0
5194,28,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,42,1
5196,66,0,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,88,1
5197,66,0,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,94,1
5201,100,1,3,1,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,44.1,0
5202,116,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,68,0
5205,57,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,95,0
5211,191,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,85.33,0
5212,191,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,2,No Deposit,Transient-Party,85.33,1
5216,191,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,85.33,0
5219,191,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,1,No Deposit,Transient,85.33,0
5227,191,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,85.33,0
5229,181,1,2,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,44.1,1
5232,191,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,1,No Deposit,Transient,85.33,0
5233,7,1,2,1,0,0,FB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,19,0
5241,83,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,Non Refund,Transient,58,0
5243,83,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,Non Refund,Transient,70,0
5244,42,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,71,0
5249,83,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,46,0
5252,41,2,5,2,0,0,FB,TA/TO,0,0,0,E,1,No Deposit,Transient,122,1
5256,83,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,46,0
5257,83,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,Non Refund,Transient,70,0
5260,197,1,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,49.3,0
5263,52,1,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,80,1
5266,21,2,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,79,0
5269,17,2,2,2,2,0,HB,TA/TO,0,0,0,G,0,No Deposit,Transient,178,0
5271,191,2,4,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,101.7,1
5274,80,2,5,1,0,0,FB,TA/TO,0,0,0,A,0,No Deposit,Transient,54,1
5277,95,4,10,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,47,0
5278,95,4,10,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,8,0
5279,95,4,10,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,47,0
5286,143,2,2,2,0,0,FB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5289,143,2,2,2,0,0,FB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5298,143,2,2,2,0,0,FB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5299,143,2,2,2,0,0,FB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5304,143,2,2,2,0,0,FB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5310,89,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,52.2,0
5312,72,2,5,2,2,0,BB,Direct,0,0,0,C,0,No Deposit,Transient,88,0
5317,138,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,Non Refund,Transient,65,0
5319,138,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,Non Refund,Transient,65,0
5321,138,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,Non Refund,Transient,65,0
5322,138,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,Non Refund,Transient,65,0
5325,138,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,Non Refund,Transient,65,0
5336,138,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,Non Refund,Transient,65,0
5339,27,1,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,85,0
5341,13,1,4,2,0,0,BB,Corporate,0,0,0,E,0,No Deposit,Transient,85,0
5343,93,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,73.57,1
5344,93,2,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,113.57,0
5348,7,0,2,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,30,0
5349,189,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,46,0
5351,189,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,46,0
5352,189,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,46,0
5355,189,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,46,0
5358,189,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,46,0
5361,189,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,46,0
5363,189,0,2,1,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,30,0
5364,189,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,46,0
5365,189,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,46,0
5369,11,0,3,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,96,0
5375,179,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,1
5381,12,0,3,2,0,0,Undefined,Direct,0,0,0,A,1,No Deposit,Transient-Party,72,0
5384,209,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,79.2,1
5388,15,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,65,0
5389,27,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65,0
5394,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5395,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5396,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5397,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5398,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5400,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5401,206,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,39.33,1
5404,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5405,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5413,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
5419,14,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65,0
5424,65,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,73,0
5426,114,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,0
5430,102,1,2,2,0,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,113,1
5433,199,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,46.98,1
5437,116,1,2,2,0,1,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,120.33,2
5440,108,2,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5449,108,2,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5451,108,2,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5453,108,2,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,84,0
5457,101,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,47,0
5460,87,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,46,0
5462,87,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,Non Refund,Transient,58,0
5471,87,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,46,0
5475,87,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,46,0
5477,76,2,6,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,88,1
5478,78,2,7,2,0,0,BB,TA/TO,0,0,0,A,3,No Deposit,Transient-Party,40,0
5480,157,4,10,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,79.2,2
5487,32,0,1,2,0,0,BB,Direct,0,0,0,E,1,No Deposit,Transient,82.5,1
5489,39,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,86,0
5491,31,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,86,0
5495,197,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5499,197,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5501,197,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5502,197,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5504,19,1,1,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,127,0
5506,197,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5507,22,2,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,100,0
5511,32,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,93.57,0
5513,55,2,5,3,1,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,136,1
5517,206,2,6,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,37.4,0
5519,171,4,10,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,65.7,2
5520,171,4,10,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,65.7,2
5526,232,2,4,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,70.4,0
5534,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5535,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5539,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5541,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5546,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5556,199,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
5557,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5562,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5566,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
5574,6,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,90,0
5584,187,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,1
5586,187,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52.2,1
5588,201,3,7,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,84.96,0
5590,188,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,74.76,1
5591,288,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Contract,55.83,0
5602,188,0,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,71.7,0
5603,19,2,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,90,1
5612,209,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48.98,2
5614,113,2,5,3,0,0,BB,Direct,0,0,0,H,0,No Deposit,Transient,100.3,0
5616,154,4,10,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,52.56,0
5622,165,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,65.7,0
5623,71,2,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,74.75,0
5628,354,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,37.56,0
5631,80,2,5,1,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,73,0
5632,260,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,40.76,1
5637,49,1,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65,0
5640,95,2,1,2,0,1,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,58,3
5643,262,2,5,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Contract,65.4,0
5650,1,2,0,1,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,48.6,1
5651,59,2,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,41.4,0
5653,1,2,0,1,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,48.6,1
5654,20,2,0,2,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,115,0
5659,46,2,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,95,0
